here,worst_riskclass_l3m,no_daysarrs1_29_evr,capo_enqs_ever_cb,no_guarantors_mdi,worst_accstatus_l12m,customer_marital_status,no_daysarrs90_119_evr,no_daysarrs0_l3m,customer_employment_type,curbal_ugx,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,Uganda_CS_Scr
0.038764748,20,7,2, ,30,S,0,1, ,8110190,68,51,57,71,67,67,66,57,58,62,624
0.931935865,20,0,1, ,30,S,0,0,0,79732313,68,71,57,71,67,67,66,57,66,61,651
0.662986134,20,4,5,0,60,O,0,0,1,27270931,68,55,52,72,49,54,66,57,66,61,600
0.949627324,20,3,8, ,30,S,0,0,0,119610265,68,57,52,71,67,67,66,57,66,61,632
0.398140001,20,0,3, ,30,M,0,1,0,25132899,68,71,57,71,67,66,66,57,66,61,650
0.785672302,30,2,1, ,60,M,0,0,2,14536469,45,57,57,71,49,66,66,57,66,61,595
0.328868906,30,4,1, ,60,S,0,0,0,4647795,45,55,57,71,49,67,66,57,66,62,595
0.77009943,20,0,2, ,30,S,0,1,0,7572627,68,71,57,71,67,67,66,57,66,62,652
0.153916454,20,0,1, ,30,M,0,0,0,21308700,68,71,57,71,67,66,66,57,66,61,650
0.611677883,20,13,1, ,60,M,0,1,0,45223022,68,43,57,71,49,66,66,57,66,61,604
0.06285125,60,7, , ,60,M,1,0, ,26462452,25,51,65,71,49,66,58,57,58,61,561
0.888268781,20,0,7, ,30,S,0,1, ,140146835,68,71,52,71,67,67,66,57,58,61,638
0.194575707,20,6,2, ,30,M,0,1,0,45675458,68,51,57,71,67,66,66,57,66,61,630
0.010971555,20,1,2, ,30,M,0,1,0,38791760,68,61,57,71,67,66,66,57,66,61,640
0.747875279,20,0,1, ,30,S,0,1, ,27528834,68,71,57,71,67,67,66,57,58,61,643
0.232968624,20,0,2, ,30,M,0,1,0,84356802,68,71,57,71,67,66,66,57,66,61,650
0.390894619,20,0,1, ,30,S,0,1, ,14494525,68,71,57,71,67,67,66,57,58,61,643
0.509164855,20,3,2, ,30,S,0,1,0,147941098,68,57,57,71,67,67,66,57,66,61,637
0.683793565,20,0,1, ,30,M,0,1, ,42467093,68,71,57,71,67,66,66,57,58,61,642
0.054030103,20,0,2, ,30,S,0,1,0,37037447,68,71,57,71,67,67,66,57,66,61,651
0.694520649,20,13,4,0,60,M,0,4,0,18688362,68,43,57,72,49,66,66,68,66,61,616
0.730870004,20,2,1, ,30,M,0,1, ,16197987,68,57,57,71,67,66,66,57,58,61,628
0.005645005,20,3,3,0,30,O,0,0,0,7741338,68,57,57,72,67,54,66,57,66,62,626
0.256432488,20,0,2, ,30,S,0,1, ,22524989,68,71,57,71,67,67,66,57,58,61,643
0.428109514,20,0,1, ,30,M,0,1,0,13912980,68,71,57,71,67,66,66,57,66,61,650
0.806303974,20,2,4, ,30,S,0,1,0,33077699,68,57,57,71,67,67,66,57,66,61,637
0.052523993,20,2,3,0,30,M,0,1,1,103157534,68,57,57,72,67,66,66,57,66,61,637
0.608128191,20,3,1, ,30,M,0,1, ,56619482,68,57,57,71,67,66,66,57,58,61,628
0.972755516,20,1,2, ,30,M,0,1,0,35054596,68,61,57,71,67,66,66,57,66,61,640
0.169383483,60,6,3, ,70,S,3,0,0,71512255,25,51,57,71,49,67,54,57,66,61,558
0.296237533,60,6,1, ,60,M,1,0, ,22908512,25,51,57,71,49,66,58,57,58,61,553
0.302511047,20,13,5, ,60,S,0,2,0,65946581,68,43,52,71,49,67,66,57,66,61,600
0.451880585,20,0,3, ,30,M,0,1,0,26137597,68,71,57,71,67,66,66,57,66,61,650
0.011722738,20,0,1, ,30,M,0,1,0,134832241,68,71,57,71,67,66,66,57,66,61,650
0.840059473,20,1,2, ,60,M,0,1,0,34617075,68,61,57,71,49,66,66,57,66,61,622
0.239859999,20,23,1, ,30,M,0,1,0,21452398,68,43,57,71,67,66,66,57,66,61,622
0.621235073,20,5,9, ,60,M,0,1,0,195377009,68,55,52,71,49,66,66,57,66,61,611
0.779764153,20,2,1, ,60,M,0,1, ,210530793,68,57,57,71,49,66,66,57,58,61,610
0.221811701,30,25,4, ,60,M,0,0,0,224104851,45,43,57,71,49,66,66,57,66,61,581
0.19378869,40,40,4, ,60,M,5,0,0,472260158.4,25,43,57,71,49,66,54,57,66,61,549
0.218120447,20,0,1, ,30,M,0,1,0,190001218,68,71,57,71,67,66,66,57,66,61,650
0.444386785,20,3,5, ,30,M,0,1,0,109605685,68,57,52,71,67,66,66,57,66,61,631
0.57290004,20,3,5, ,30,M,0,1,0,109605685,68,57,52,71,67,66,66,57,66,61,631
0.657533931,20,8,4,0,60,M,0,1,0,180609724,68,51,57,72,49,66,66,57,66,61,613
0.968112515,20,4,4, ,30,S,0,0,0,76639333,68,55,57,71,67,67,66,57,66,61,635
0.645381463,20,2,1, ,30,M,0,0, ,14502709,68,57,57,71,67,66,66,57,58,61,628
0.629884823,20,1,2, ,30,S,0,1, ,59460294,68,61,57,71,67,67,66,57,58,61,633
0.698065259,20,2,13, ,60,M,0,0,0,27255047,68,57,52,71,49,66,66,57,66,61,613
0.418500387,20,0,1, ,60,?,0,0, ,42337063,68,71,57,71,49,54,66,57,58,61,612
0.178473338,20,3,1, ,60,M,0,1,0,79550784,68,57,57,71,49,66,66,57,66,61,618
0.951938035,20,0,2, ,30,S,0,1,0,0,68,71,57,71,67,67,66,57,66,66,656
0.067365391,30,15,2,0,60,M,0,0, ,92232780,45,43,57,72,49,66,66,57,58,61,574
0.191699673,20,0,1, ,30,S,0,1,0,66911267,68,71,57,71,67,67,66,57,66,61,651
0.01528675,40,4,2, ,60,M,3,0,1,99686056,25,55,57,71,49,66,54,57,66,61,561
0.61603934,20,0,2, ,30,D,0,3,2,13220790,68,71,57,71,67,62,66,68,66,61,657
0.579502432,20,0,1,0,60,S,0,1,0,23389323,68,71,57,72,49,67,66,57,66,61,634
0.595355721,20,4,2, ,60,M,0,1,0,213849465,68,55,57,71,49,66,66,57,66,61,616
0.269839997,60,25,2,5,60,S,2,0,2,75444123,25,43,57,53,49,67,56,57,66,61,534
0.152125842,60,4,1, ,60,M,2,0,0,20122329,25,55,57,71,49,66,56,57,66,61,563
0.148779717,20,8,1, ,60,M,0,1,0,28651394,68,51,57,71,49,66,66,57,66,61,612
0.105881153,20,7,2, ,60,M,0,1, ,10951430,68,51,57,71,49,66,66,57,58,61,604
0.846019328,20,0,3, ,30,S,0,1, ,73205223,68,71,57,71,67,67,66,57,58,61,643
0.106225071,20,1,4, ,60,M,0,0,1,48447155,68,61,57,71,49,66,66,57,66,61,622
0.089079524,60,12, , ,60,S,1,0,0,58021084,25,43,65,71,49,67,58,57,66,61,562
0.359140798,20,2,4, ,60,M,0,1,0,55275582,68,57,57,71,49,66,66,57,66,61,618
0.419415655,20,4,1, ,30,M,1,1,1,14393515,68,55,57,71,67,66,58,57,66,61,626
0.070031408,20,0,1, ,30,S,0,1,0,2181739,68,71,57,71,67,67,66,57,66,63,653
0.542127518,60,2,6, ,60,M,1,1,0,65536969,25,57,52,71,49,66,58,57,66,61,562
0.290187469,20,1,1, ,60,M,0,1,0,48699387,68,61,57,71,49,66,66,57,66,61,622
0.45187609,20,1,1, ,60,M,0,1,0,14269321,68,61,57,71,49,66,66,57,66,61,622
0.069851823,20,16,1, ,60,S,0,1,0,42713556,68,43,57,71,49,67,66,57,66,61,605
0.142083482,30,6,1,0,60,M,0,0,0,26920567,45,51,57,72,49,66,66,57,66,61,590
0.154843614,20,17,1, ,70,S,0,0,0,3434193,68,43,57,71,49,67,66,57,66,62,606
0.52661572,20,3,1, ,60,?,0,1, ,38097529,68,57,57,71,49,54,66,57,58,61,598
0.390129397,20,1,1, ,60,S,0,1,0,7670931,68,61,57,71,49,67,66,57,66,62,624
0.300877854,20,0,1, ,30,S,0,1,0,20387244,68,71,57,71,67,67,66,57,66,61,651
0.18284493,20,0,1, ,30,M,0,0,0,4004857,68,71,57,71,67,66,66,57,66,62,651
0.405922271,20,0,2, ,30,M,0,0,0,20721300,68,71,57,71,67,66,66,57,66,61,650
0.980729382,20,0,1, ,30,S,0,0,0,29711354,68,71,57,71,67,67,66,57,66,61,651
0.477348,20,24, , ,60,M,0,1,2,27454198,68,43,65,71,49,66,66,57,66,61,612
0.419672061,20,10,4, ,30,M,0,0,0,49505964,68,51,57,71,67,66,66,57,66,61,630
0.306719217,30,2,1, ,60,S,0,0,0,16460244,45,57,57,71,49,67,66,57,66,61,596
0.617826725,30,2,3, ,60,S,0,0,0,51509132,45,57,57,71,49,67,66,57,66,61,596
0.717221001,20,3,10,6,30,M,0,5,0,43656657,68,57,52,53,67,66,66,68,66,61,624
0.284488557,20,0,1, ,30,M,0,1, ,16573198,68,71,57,71,67,66,66,57,58,61,642
0.894914008,20,1,5, ,30,M,0,1,0,267817223,68,61,52,71,67,66,66,57,66,61,635
0.742216176,20,2,1, ,60,M,0,1,0,38213104,68,57,57,71,49,66,66,57,66,61,618
0.690267319,20,5,5, ,60,M,0,0,0,140888812,68,55,52,71,49,66,66,57,66,61,611
0.228474821,20,0,3, ,30,M,0,0,0,45235981.8,68,71,57,71,67,66,66,57,66,61,650
0.171107583,20,0,1, ,30,S,0,1,1,35076809,68,71,57,71,67,67,66,57,66,61,651
